Aaron Rodgers, GB, QB
Torrey Smith, BAL, WR
Greg Jennings, MIN, WR
Tavon Austin, STL, WR
Anquan Boldin, SF, WR
Steve Johnson, BUF, WR
Sidney Rice, SEA, WR
T.Y. Hilton, IND, WR
Miles Austin, DAL, WR
Mike Williams, TB, WR
Lance Moore, NO, WR
Kenny Britt, TEN, WR
Emmanuel Sanders, PIT, WR
Denarius Moore, OAK, WR
Chris Givens, STL, WR
Josh Gordon, CLE, WR
Vincent Brown, SD, WR
Michael Floyd, ARI, WR
Golden Tate, SEA, WR
Malcom Floyd, SD, WR
Rueben Randle, NYG, WR
Ryan Broyles, DET, WR
Kendall Wright, TEN, WR
DeAndre Hopkins, HOU, WR
Alshon Jeffery, CHI, WR
Andre Roberts, ARI, WR
Brian Hartline, MIA, WR
Justin Blackmon, JAC, WR
Greg Little, CLE, WR
Austin Collie, SF, WR
Brandon Lloyd, FA, WR
Santana Moss, WAS, WR
Jacoby Jones, BAL, WR
Darrius Heyward-Bey, IND, WR
Robert Woods, BUF, WR
Aaron Dobson, NE, WR
Kenbrell Thompkins, NE, WR
Jeremy Kerley, NYJ, WR
Braylon Edwards, NYJ, WR
Santonio Holmes, NYJ, WR
Nate Burleson, DET, WR
Brandon LaFell, CAR, WR
Andrew Hawkins, CIN, WR
Brian Quick, STL, WR
Cordarrelle Patterson, MIN, WR
Keenan Allen, SD, WR
Justin Hunter, TEN, WR
Rod Streater, OAK, WR
Stephen Hill, NYJ, WR
Jarius Wright, MIN, WR
Julian Edelman, NE, WR
Brandon Gibson, MIA, WR
Eddie Royal, SD, WR
Davone Bess, CLE, WR
Mohamed Sanu, CIN, WR
Nate Washington, TEN, WR
Jerome Simpson, MIN, WR
Riley Cooper, PHI, WR
Jason Avant, PHI, WR
Doug Baldwin, SEA, WR
Kenny Stills, NO, WR
Donnie Avery, KC, WR
Percy Harvin, SEA, WR
Michael Crabtree, SF, WR
Terrance Williams, DAL, WR
Josh Morgan, WAS, WR
Domenik Hixon, CAR, WR
Leonard Hankerson, WAS, WR
Dexter McCluster, KC, WR
T.J. Graham, BUF, WR
Markus Wheaton, PIT, WR
A.J. Jenkins, KC, WR
Jacoby Ford, OAK, WR
Harry Douglas, ATL, WR
Robert Meachem, SD, WR
Corey Fuller, DET, WR
Lestar Jean, HOU, WR
Jordan Shipley, JAC, WR
Quinton Patton, SF, WR
Jon Baldwin, SF, WR
Dwayne Harris, DAL, WR
Marvin Jones, CIN, WR
Kyle Williams, SF, WR
Nick Toon, NO, WR
Tandon Doss, BAL, WR
Tiquan Underwood, TB, WR
Marlon Moore, SF, WR
Mario Manningham, SF, WR
Josh Boyce, NE, WR
Da'Rick Rogers, BUF, WR
Stedman Bailey, STL, WR
Earl Bennett, CHI, WR
Louis Murphy, NYG, WR
Kevin Ogletree, TB, WR
Jimmy Graham, NO, TE
Rob Gronkowski, NE, TE
Tony Gonzalez, ATL, TE
Jason Witten, DAL, TE
Vernon Davis, SF, TE
Kyle Rudolph, MIN, TE
Owen Daniels, HOU, TE
Greg Olsen, CAR, TE
Antonio Gates, SD, TE
Brandon Myers, NYG, TE
Jared Cook, STL, TE
Jermichael Finley, GB, TE
Martellus Bennett, CHI, TE
Brandon Pettigrew, DET, TE
Fred Davis, WAS, TE
Coby Fleener, IND, TE
Jordan Cameron, CLE, TE
Ed Dickson, BAL, TE
Dwayne Allen, IND, TE
Jermaine Gresham, CIN, TE
Rob Housler, ARI, TE
Tyler Eifert, CIN, TE
Zach Miller, SEA, TE
Brent Celek, PHI, TE
Julius Thomas, DEN, TE
Scott Chandler, BUF, TE
Marcedes Lewis, JAC, TE
Zach Ertz, PHI, TE
Heath Miller, PIT, TE
Dallas Clark, BAL, TE
Delanie Walker, TEN, TE
Travis Kelce, KC, TE
Tony Scheffler, DET, TE
Luke Stocker, TB, TE
Kellen Winslow, NYJ, TE
David Paulson, PIT, TE
Jacob Tamme, DEN, TE
Zach Sudfeld, NE, TE
Tom Crabtree, TB, TE
Taylor Thompson, TEN, TE
Gavin Escobar, DAL, TE
James Casey, PHI, TE
Tony Moeaki, KC, TE
Joel Dreessen, DEN, TE
David Ausberry, OAK, TE
Ben Watson, NO, TE
Garrett Graham, HOU, TE
Anthony Fasano, KC, TE
Jeff Cumberland, NYJ, TE
Charles Clay, MIA, TE
Stephen Gostkowski, NE, K
Blair Walsh, MIN, K
Matt Bryant, ATL, K
Justin Tucker, BAL, K
Matt Prater, DEN, K
Phil Dawson, SF, K
Randy Bullock, HOU, K
Josh Brown, NYG, K
Sebastian Janikowski, OAK, K
David Akers, DET, K
Dan Bailey, DAL, K
Greg Zuerlein, STL, K
Steven Hauschka, SEA, K
Garrett Hartley, NO, K
Robbie Gould, CHI, K
Mike Nugent, CIN, K
Mason Crosby, GB, K
Lawrence Tynes, TB, K
Adam Vinatieri, IND, K
Alex Henery, PHI, K
Shaun Suisham, PIT, K
Rob Bironas, TEN, K
Graham Gano, CAR, K
Kai Forbath, WAS, K
Jay Feely, ARI, K
Shayne Graham, CLE, K
Ryan Succop, KC, K
Nick Novak, SD, K
Nick Folk, NYJ, K
Josh Scobee, JAC, K
Dustin Hopkins, BUF, K
Caleb Sturgis, MIA, K
Giorgio Tavecchio, GB, K
Havard Rugland, DET, K
Derek Dimke, TB, K
